,scaled_input_date,scaled_input_day,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_day,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,scaled_cf_date,scaled_cf_day,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_day,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.460865,0.3333333333333333,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,2.0,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.31936353,0.723404,0.02149546,0.818521,0.009412,0.79743,0.0664984,N,0.460865,1.9161811800000002,0.723404,0.020713283201520005,0.818521,0.009412,0.79743,0.0637859967624,N,0.05583310127258301,Y,1.0,Y
0,0.013053,0.6666666666666666,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,4.0,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,0.56181115,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,3.3708669,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,0.036261796951293945,Y,1.0,N
0,0.014247,0.5,0.680851,0.04212380086590868,0.494942,0.003467,0.422915,0.43255550655695146,0.0,0.014247,3.0,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,0.0,0.014247,0.5,0.680851,0.92173599,0.494942,0.003467,0.422915,0.43255550655695146,Y,0.014247,3.0,0.680851,0.8881958607958801,0.494942,0.003467,0.422915,0.414912,Y,0.03365206718444824,Y,0.0,N
0,0.437768,0.16666666666666666,0.021277,0.04932068093797088,0.249926,0.003467,0.422915,0.43255550655695146,0.0,0.437768,1.0,0.021277,0.047526,0.249926,0.003467,0.422915,0.414912,0.0,0.437768,0.16666666666666666,0.021277,0.04932068093797088,0.898981,0.94409,0.422915,0.43255550655695146,Y,0.437768,1.0,0.021277,0.047526,0.898981,0.94409,0.422915,0.414912,Y,0.03485393524169922,Y,0.0,N
0,0.013716,0.8333333333333333,0.744681,0.047482804282221465,0.50238,0.003467,0.422915,0.43255550655695146,0.0,0.013716,5.0,0.744681,0.045755,0.50238,0.003467,0.422915,0.414912,0.0,0.488856,0.8333333333333333,0.744681,0.047482804282221465,0.50238,0.003467,0.422915,0.5185425,Y,0.488856,5.0,0.744681,0.045755,0.50238,0.003467,0.422915,0.49739166996750006,Y,0.03727602958679199,Y,0.0,N
0,0.893677,0.6666666666666666,0.425532,0.029785847415764847,0.505207,0.002023,0.60202,0.34567889650973554,0.0,0.893677,4.0,0.425532,0.028702,0.505207,0.002023,0.60202,0.331579,0.0,0.893677,0.6666666666666666,0.425532,0.72011474,0.505207,0.002023,0.60202,0.34567889650973554,Y,0.893677,4.0,0.425532,0.6939112048408801,0.505207,0.002023,0.60202,0.331579,Y,0.03498697280883789,Y,0.0,N
0,0.443122,0.6666666666666666,1.0,0.057452584650253415,0.500744,0.003882,0.459606,0.541380363653044,1.0,0.443122,4.0,1.0,0.055362,0.500744,0.003882,0.459606,0.519298,1.0,0.159827,0.6666666666666666,1.0,0.057452584650253415,0.500744,0.003882,0.459606,0.541380363653044,N,0.159827,4.0,1.0,0.055362,0.500744,0.003882,0.459606,0.519298,N,0.03667616844177246,Y,1.0,Y
0,0.907216,0.0,0.617021,0.03330593641424141,0.254686,0.002119,0.288452,0.6314585633400783,0.0,0.907216,0.0,0.617021,0.032094,0.254686,0.002119,0.288452,0.605702,0.0,0.621976,0.0,0.617021,0.03330593641424141,0.254686,0.002119,0.288452,0.6314585633400783,Y,0.621976,0.0,0.617021,0.032094,0.254686,0.002119,0.288452,0.605702,Y,0.03391098976135254,Y,0.0,N
0,0.474492,0.5,0.404255,0.04935181380057533,0.458792,0.003218,0.313309,0.48605364200368834,0.0,0.474492,3.0,0.404255,0.047556,0.458792,0.003218,0.313309,0.466228,0.0,0.0853,0.5,0.404255,0.04935181380057533,0.458792,0.003218,0.313309,0.48605364200368834,N,0.0853,3.0,0.404255,0.047556,0.458792,0.003218,0.313309,0.466228,N,0.03422117233276367,N,0.0,Y
0,0.008672,0.3333333333333333,0.489362,0.09627422655591669,0.590747,0.003467,0.422915,0.43255550655695146,1.0,0.008672,2.0,0.489362,0.092771,0.590747,0.003467,0.422915,0.414912,1.0,0.008672,0.3333333333333333,0.115972,0.09627422655591669,0.20447,0.003467,0.422915,0.8166717,N,0.008672,2.0,0.115972,0.092771,0.20447,0.003467,0.422915,0.7833604780287001,N,0.049952030181884766,Y,1.0,Y
